AÑO;DEPENDENCIAS €;DEPENDENCIAS kWh;COLEGIOS €;COLEGIOS kWh;ALUMBRADO PUBLICO €;ALUMBRADO PUBLICO kWh;FECHA CREACION
2018-04;429416.05;2507933.0;122509.87000000001;656064.0;1025415.1399999999;7006990.0;2023-11-13
2018-07;460557.05;2856332.0;92804.64000000001;450354.0;573816.41;3949538.0;2023-11-13
2018-09;324156.7;2258050.85;41265.1;173585.0;472618.61000000004;3213003.5;2023-11-13
2018-10;470535.23;2913286.0;93512.0;455769.0;572677.36;3626321.0;2023-11-13
2018-11;466759.07;2612827.0;133000.55000000002;637349.0;810022.34;5112393.0;2023-11-13
2018-12;461151.45999999996;2504529.0;131807.02000000002;693371.0;841446.23;5187118.0;2023-11-13
2019-03;406638.81;2275879.0;155661.38;873353.0;874539.36;5403532.0;2023-11-13
2019-09;445418.0;2642026.0;60492.47;197782.0;652427.92;3927312.0;2023-11-13
2019-10;462164.98;2571820.0;98982.16;459717.0;703364.53;4477151.0;2023-11-13
2020-06;335917.13;1842528.0;72285.27;312024.0;626142.69;3975347.0;2023-11-13
2020-09;486001.21;2921372.0;87983.7;348101.0;744149.02;4896152.0;2023-11-13
2020-12;324931.55;2130453.0;110186.77;699529.0;607356.32;4819835.0;2023-11-13
2021-01;304562.35;2157007.0;100776.6;627777.0;477305.46;3783505.0;2023-11-13
2021-04;320969.82;2219581.0;127938.79;755096.0;586896.66;4557423.0;2023-11-13
2021-06;275894.8;1938026.0;98125.73;552263.0;396707.16;3135771.0;2023-11-13
2021-07;294028.97;2305025.0;85108.72;487747.0;384751.1;3214426.0;2023-11-13
2021-11;262039.51;2228909.0;78943.26;519412.0;402467.58;4029784.0;2023-11-13
2022-01;303844.99;2292193.0;103304.48;612690.0;508630.75;4506273.0;2023-11-13
2022-04;326912.91;2404881.0;124632.66;732831.0;487385.82;3743986.0;2023-11-13
2022-07;323092.75;2719602.0;86849.62;563302.0;335371.64;2879237.0;2023-11-13
2018-01;394566.89;2410889.0;113951.54999999999;619758.0;765110.9899999999;5225359.0;2023-11-13
2018-03;477351.43;3344846.0;135473.22;835790.0;624479.83;4228442.0;2023-11-13
2018-05;337137.96;2029188.0;108012.06;575377.0;655657.99;4583961.0;2023-11-13
2018-06;357333.4;2204734.0;108050.04000000001;576851.0;596962.9;4058108.0;2023-11-13
2019-01;395004.32;2218791.0;113166.87;603133.0;850209.82;5203998.0;2023-11-13
2019-04;357919.33;2003914.0;122467.05;704064.0;781062.35;4688126.0;2023-11-13
2019-05;358900.37;2026526.0;106974.07;516400.0;711257.55;4356688.0;2023-11-13
2019-06;382395.54;2123186.0;117499.34;557025.0;667425.51;4023932.0;2023-11-13
2019-07;372282.81;1980226.0;103636.86;474927.0;608751.9;3644479.0;2023-11-13
2019-08;590491.02;3352858.0;80648.5;328917.0;646118.97;3868100.0;2023-11-13
2019-11;491519.27;2788647.0;157904.56;768735.0;924067.44;5746263.0;2023-11-13
2019-12;375741.34;2100616.0;131708.55;702464.0;811739.69;5007856.0;2023-11-13
2020-01;439640.96;2419669.0;126272.28;663813.0;862967.44;5285664.0;2023-11-13
2020-03;364852.88;1997273.0;125231.86;672503.0;635198.44;3948226.0;2023-11-13
2020-04;313766.25;1582261.0;77732.62;331635.0;544913.45;3108411.0;2023-11-13
2020-05;351067.74;1852276.0;73434.85;293770.0;579100.06;3545119.0;2023-11-13
2020-07;385364.58;2070815.0;67066.96;241409.0;531654.68;3179261.2;2023-11-13
2020-11;263641.27;1908779.0;95908.23;570280.0;509022.93;4078151.0;2023-11-13
2021-02;334127.88;2314318.0;104097.57;635764.0;501522.84;3998553.0;2023-11-13
2021-05;291810.56;2012321.0;104207.79;600084.0;442272.79;3609500.0;2023-11-13
2021-09;400342.57;3182422.0;45785.43;166227.0;408433.95;3512648.0;2023-11-13
2021-10;313693.23;2567691.0;83123.52;543764.0;415861.86;3646609.0;2023-11-13
2021-12;253882.45;2071608.0;98376.4;720258.0;466842.09;4312280.0;2023-11-13
2022-02;419972.26;2737958.0;151734.21;720107.0;589538.84;4423134.0;2023-11-13
2022-09;1233609.88;5069523.0;271494.2;715014.0;1535868.28;5857784.0;2023-11-13
2022-10;481812.49;1421727.0;77785.85;216659.0;383901.52;1159647.0;2023-11-13
2022-12;312063.82;839654.0;49705.35;121101.0;199246.1;597560.0;2023-11-13
2018-02;339556.52;2063760.0;130614.83;816496.0;642427.53;4396087.0;2023-11-13
2018-08;508349.01;3118908.0;63545.03;217188.0;606860.1;4225242.88;2023-11-13
2019-02;433673.45;2469088.0;146759.5;816277.0;910036.02;5573203.0;2023-11-13
2020-02;477871.21;2594381.0;148512.19;811536.0;846463.42;5260964.0;2023-11-13
2020-08;488150.87;2662923.0;66622.47;248810.0;614619.14;3806456.0;2023-11-13
2020-10;400112.67;2704589.0;103190.85;552563.0;504855.54;4516329.0;2023-11-13
2021-03;233856.94;1666889.0;48416.56;301667.0;305308.1;2450006.0;2023-11-13
2021-08;410526.66;2612762.0;76541.28;317858.0;426791.06;3205202.0;2023-11-13
2022-03;328466.54;2097041.0;140563.1;695643.0;507115.28;3728559.0;2023-11-13
2022-05;331113.41;2319821.0;74362.19;519112.0;375279.95;3321309.0;2023-11-13
2022-06;277242.96;2254866.0;90009.09;643420.0;368116.18;3220280.0;2023-11-13
2022-08;475507.99;3094002.0;68228.45;359439.0;387308.35;3094836.0;2023-11-13
2022-11;773133.78;2293427.0;149936.48;425646.0;1136026.15;3414494.0;2023-11-13
